date,trade_id,symbol,action,quantity,price_usd,total_usd,commission,slippage_pct,signal_strength,rsi_entry,position_status,realized_pnl_pct,exit_reason,entry_time,exit_time,duration_hours,comment
2026-04-01,T001,SPY,BUY,100,518.20,51820.00,0.00,0.03,0.85,31.2,CLOSED,2.80,TAKE_PROFIT,09:30:00,2026-04-03 16:00:00,48.0,RSI oversold bounce - clean entry
2026-04-03,T002,QQQ,BUY,50,438.10,21905.00,0.00,0.03,0.79,29.8,CLOSED,3.10,TAKE_PROFIT,10:15:00,2026-04-08 15:30:00,77.25,Strong momentum continuation
2026-04-08,T003,JPM,BUY,40,198.50,7940.00,0.00,0.03,0.82,27.4,CLOSED,1.90,TAKE_PROFIT,11:00:00,2026-04-10 16:00:00,53.0,Banking sector rotation
2026-04-10,T004,VNQ,BUY,30,88.40,2652.00,0.00,0.03,0.75,33.1,CLOSED,1.20,RSSI_EXIT,09:45:00,2026-04-14 15:00:00,77.25,Real estate bounce expected
2026-04-14,T005,MSFT,BUY,25,412.30,10307.50,0.00,0.04,0.81,28.9,CLOSED,2.50,TAKE_PROFIT,10:30:00,2026-04-17 16:00:00,77.5,Cloud momentum stable
2026-04-17,T006,AMD,BUY,60,178.20,10692.00,0.00,0.04,0.88,22.1,CLOSED,5.80,TAKE_PROFIT,09:30:00,2026-04-22 15:30:00,102.0,AI chip cycle trade
2026-04-22,T007,NVDA,BUY,15,870.30,13054.50,0.00,0.05,0.92,18.5,CLOSED,8.20,TAKE_PROFIT,10:00:00,2026-04-25 14:00:00,76.0,Datacenter capex surge
2026-04-25,T008,TSLA,BUY,25,168.70,4217.50,0.00,0.05,0.90,19.8,CLOSED,6.50,TAKE_PROFIT,11:15:00,2026-04-29 15:00:00,99.75,EV sentiment high
2026-04-29,T009,AVGO,BUY,10,1280.20,12802.00,0.00,0.05,0.87,21.3,CLOSED,4.10,TAKE_PROFIT,09:45:00,2026-05-02 16:00:00,78.25,Semiconductor boom
2026-05-02,T010,META,BUY,20,485.70,9714.00,0.00,0.05,0.89,17.2,CLOSED,3.70,TAKE_PROFIT,10:30:00,2026-05-06 14:30:00,75.0,Meta advertising recovery
2026-05-06,T011,NVDA,BUY,12,920.50,11046.00,0.00,0.05,0.94,15.8,CLOSED,-1.20,STOP_LOSS,11:00:00,2026-05-07 15:00:00,28.0,FIRST WARNING - Overbought entry
2026-05-07,T012,TSLA,BUY,30,182.30,5469.00,0.00,0.06,0.91,14.2,CLOSED,-3.80,STOP_LOSS,10:15:00,2026-05-08 16:00:00,29.75,SECOND WARNING - Chasing peak
2026-05-08,T013,AMD,BUY,40,189.40,7576.00,0.00,0.05,0.88,16.5,CLOSED,-2.40,STOP_LOSS,09:30:00,2026-05-09 15:30:00,30.0,THIRD WARNING - Overextended
2026-05-09,T014,NVDA,BUY,18,895.20,16113.60,0.00,0.06,0.93,13.1,CLOSED,-4.50,STOP_LOSS,10:45:00,2026-05-12 15:00:00,52.25,OVERFITTING TRAP - High RSI chase
2026-05-12,T015,AVGO,BUY,15,1310.50,19657.50,0.00,0.06,0.86,17.8,CLOSED,-2.90,STOP_LOSS,11:30:00,2026-05-13 16:00:00,28.5,Cascade sell-off triggered
2026-05-13,T016,SMCI,BUY,20,860.40,17208.00,0.00,0.07,0.89,12.3,CLOSED,-8.20,STOP_LOSS,09:45:00,2026-05-15 14:00:00,52.25,AI infrastructure bubble burst
2026-05-15,T017,META,BUY,30,492.10,14763.00,0.00,0.06,0.85,18.2,CLOSED,-1.80,STOP_LOSS,10:00:00,2026-05-16 15:30:00,53.5,Broader tech sell-off
2026-05-16,T018,NVDA,BUY,22,875.50,19261.00,0.00,0.06,0.90,14.7,CLOSED,-6.30,STOP_LOSS,09:35:00,2026-05-19 14:00:00,76.42,Final tech washout
2026-05-19,T019,SPY,PUT,50,518.80,25940.00,0.00,0.05,0.82,68.5,CLOSED,1.50,TAKE_PROFIT,14:30:00,2026-05-20 10:00:00,19.5,Hedge protection activated
2026-05-20,T020,JPM,BUY,35,201.30,7045.50,0.00,0.04,0.78,32.4,CLOSED,0.80,TAKE_PROFIT,10:15:00,2026-05-21 16:00:00,53.75,Defensive rotation after tech crash
